Id,FullName,ClassName,DateOfBirth,Gender,Status
1,"Siswa 01",9B,2013-04-19,Laki-laki,Active
2,"Siswa 02",7B,2013-09-05,Perempuan,Active
3,"Siswa 03",7B,2013-06-02,Laki-laki,Active
4,"Siswa 04",9B,2013-09-02,Perempuan,Active
5,"Siswa 05",7B,2013-12-01,Laki-laki,Active
6,"Siswa 06",7B,2013-05-31,Perempuan,Active
7,"Siswa 07",9A,2013-06-23,Laki-laki,Inactive
8,"Siswa 08",8B,2013-06-01,Perempuan,Active
9,"Siswa 09",9A,2013-03-11,Laki-laki,Active
10,"Siswa 10",10A,2013-09-25,Perempuan,Active
11,"Siswa 11",8B,2013-04-23,Laki-laki,Active
12,"Siswa 12",7A,2013-11-11,Perempuan,Active
13,"Siswa 13",10A,2013-09-12,Laki-laki,Active
14,"Siswa 14",7A,2013-11-13,Perempuan,Inactive
15,"Siswa 15",7B,2014-01-23,Laki-laki,Active
16,"Siswa 16",9B,2013-09-03,Perempuan,Active
17,"Siswa 17",7B,2013-03-14,Laki-laki,Active
18,"Siswa 18",8A,2013-09-27,Perempuan,Active
19,"Siswa 19",10A,2013-02-28,Laki-laki,Active
20,"Siswa 20",9A,2013-12-17,Perempuan,Active
21,"Siswa 21",9B,2013-07-17,Laki-laki,Inactive
22,"Siswa 22",7B,2013-03-08,Perempuan,Active
23,"Siswa 23",7A,2013-12-09,Laki-laki,Active
24,"Siswa 24",9B,2013-04-10,Perempuan,Active
25,"Siswa 25",7B,2013-12-05,Laki-laki,Active
26,"Siswa 26",8A,2013-10-21,Perempuan,Active
27,"Siswa 27",7B,2013-03-15,Laki-laki,Active
28,"Siswa 28",9A,2013-09-03,Perempuan,Inactive
29,"Siswa 29",7A,2013-07-30,Laki-laki,Active
30,"Siswa 30",9B,2013-10-14,Perempuan,Active
31,"Siswa 31",7B,2013-03-03,Laki-laki,Active
32,"Siswa 32",8A,2013-06-04,Perempuan,Active
33,"Siswa 33",7A,2013-11-16,Laki-laki,Active
34,"Siswa 34",7A,2013-08-15,Perempuan,Active
35,"Siswa 35",7A,2013-12-15,Laki-laki,Inactive
36,"Siswa 36",8B,2013-09-02,Perempuan,Active
37,"Siswa 37",8B,2013-03-02,Laki-laki,Active
38,"Siswa 38",10A,2013-03-03,Perempuan,Active
39,"Siswa 39",7A,2013-03-22,Laki-laki,Active
40,"Siswa 40",9B,2013-03-11,Perempuan,Active
